ID,plug,species,tank,treatment,chim,size,dose,days,disease,surv,area,perc_left,rate,prev
CN41,A2,Cnat,control,control,solitary,small,1,0,0,1,0.853,100,,
CN42,A2,Cnat,control,control,chimera,small,1,0,0,1,0.904,100,,
CN43,A2,Cnat,control,control,chimera,medium,1,0,0,1,1.21,100,,
CN44,A2,Cnat,control,control,chimera,medium,1,0,0,1,1.326,100,,
CN45,A2,Cnat,control,control,chimera,medium,1,0,0,1,1.593,100,,
CN46,A2,Cnat,control,control,chimera,medium,1,0,0,1,1.733,100,,
CN47,A2,Cnat,control,control,chimera,medium,1,0,0,1,1.784,100,,
CN48,A2,Cnat,control,control,chimera,medium,1,0,0,1,1.814,100,,
CN49,A2,Cnat,control,control,chimera,medium,1,0,0,1,1.907,100,,
CN50,A2,Cnat,control,control,chimera,medium,1,0,0,1,1.917,100,,
CN51,A2,Cnat,control,control,chimera,medium,1,0,0,1,2.036,100,,
CN52,A2,Cnat,control,control,chimera,medium,1,0,0,1,2.385,100,,
CN53,A2,Cnat,control,control,chimera,medium,1,0,0,1,2.443,100,,
CN54,A2,Cnat,control,control,solitary,medium,1,0,0,1,2.658,100,,
CN55,A2,Cnat,control,control,chimera,medium,1,0,0,1,2.802,100,,
CN56,A2,Cnat,control,control,chimera,medium,1,0,0,1,2.84,100,,
CN57,A2,Cnat,control,control,chimera,medium,1,0,0,1,3.128,100,,
CN58,A2,Cnat,control,control,chimera,medium,1,0,0,1,3.58,100,,
CN59,A2,Cnat,control,control,chimera,medium,1,0,0,1,3.752,100,,
CN60,A2,Cnat,control,control,chimera,medium,1,0,0,1,4.693,100,,
CN61,A2,Cnat,control,control,chimera,large,1,0,0,1,5.161,100,,
CN62,A2,Cnat,control,control,chimera,large,1,0,0,1,5.239,100,,
CN63,A2,Cnat,control,control,chimera,large,1,0,0,1,5.993,100,,
CN64,A2,Cnat,control,control,solitary,large,1,0,0,1,6.275,100,,
CN65,A2,Cnat,control,control,chimera,large,1,0,0,1,6.923,100,,
CN66,A2,Cnat,control,control,chimera,large,1,0,0,1,8.309,100,,
CN67,A2,Cnat,control,control,solitary,large,1,0,0,1,8.337,100,,
CN68,A3,Cnat,control,control,solitary,small,1,0,0,1,0.67,100,,
CN69,A4,Cnat,control,control,chimera,small,1,0,0,1,0.903,100,,
CN70,A4,Cnat,control,control,chimera,medium,1,0,0,1,1.12,100,,
CN71,A5,Cnat,control,control,solitary,small,1,0,0,1,0.791,100,,
CN72,A5,Cnat,control,control,chimera,medium,1,0,0,1,1.715,100,,
CN73,A5,Cnat,control,control,chimera,medium,1,0,0,1,1.831,100,,
CN74,A5,Cnat,control,control,chimera,medium,1,0,0,1,1.956,100,,
CN75,A5,Cnat,control,control,chimera,large,1,0,0,1,5.59,100,,
CN76,A6,Cnat,control,control,solitary,small,1,0,0,1,0.836,100,,
CN77,A6,Cnat,control,control,solitary,small,1,0,0,1,0.996,100,,
CN78,A6,Cnat,control,control,solitary,small,1,0,0,1,0.431,100,,
CN79,A7,Cnat,control,control,solitary,small,1,0,0,1,0.467,100,,
CN80,A7,Cnat,control,control,solitary,small,1,0,0,1,0.679,100,,
CN81,A7,Cnat,control,control,solitary,small,1,0,0,1,0.77,100,,
CN82,A7,Cnat,control,control,solitary,small,1,0,0,1,0.785,100,,
CN83,A7,Cnat,control,control,solitary,small,1,0,0,1,0.867,100,,
CN84,A7,Cnat,control,control,solitary,small,1,0,0,1,0.907,100,,
CN85,A8,Cnat,control,control,solitary,small,1,0,0,1,0.496,100,,
CN86,A8,Cnat,control,control,solitary,small,1,0,0,1,0.541,100,,
CN87,A9,Cnat,control,control,solitary,small,1,0,0,1,0.512,100,,
CN88,B1,Cnat,disease1,disease,chimera,small,1,0,0,1,0.421,100,,
CN89,B1,Cnat,disease1,disease,chimera,small,1,0,0,1,0.433,100,,
CN90,B1,Cnat,disease1,disease,chimera,small,1,0,0,1,0.683,100,,
CN91,B1,Cnat,disease1,disease,chimera,medium,1,0,0,1,1.401,100,,
CN92,B1,Cnat,disease1,disease,chimera,medium,1,0,0,1,1.562,100,,
CN93,B1,Cnat,disease1,disease,solitary,medium,1,0,0,1,1.785,100,,
CN94,B1,Cnat,disease1,disease,solitary,medium,1,0,0,1,1.846,100,,
CN95,B1,Cnat,disease1,disease,chimera,medium,1,0,0,1,1.882,100,,
CN96,B1,Cnat,disease1,disease,chimera,medium,1,0,0,1,1.952,100,,
CN97,B1,Cnat,disease1,disease,chimera,medium,1,0,0,1,1.996,100,,
CN98,B1,Cnat,disease1,disease,chimera,medium,1,0,0,1,2.087,100,,
CN99,B1,Cnat,disease1,disease,chimera,medium,1,0,0,1,2.158,100,,
CN100,B1,Cnat,disease1,disease,chimera,medium,1,0,0,1,2.196,100,,
CN101,B1,Cnat,disease1,disease,chimera,medium,1,0,0,1,2.316,100,,
CN102,B1,Cnat,disease1,disease,chimera,medium,1,0,0,1,2.324,100,,
CN103,B1,Cnat,disease1,disease,solitary,medium,1,0,0,1,2.61,100,,
CN104,B1,Cnat,disease1,disease,solitary,medium,1,0,0,1,2.755,100,,
CN105,B1,Cnat,disease1,disease,chimera,medium,1,0,0,1,3.002,100,,
CN106,B1,Cnat,disease1,disease,chimera,medium,1,0,0,1,3.094,100,,
CN107,B1,Cnat,disease1,disease,chimera,medium,1,0,0,1,3.347,100,,
CN108,B1,Cnat,disease1,disease,chimera,medium,1,0,0,1,3.375,100,,
CN109,B1,Cnat,disease1,disease,chimera,medium,1,0,0,1,3.578,100,,
CN110,B1,Cnat,disease1,disease,chimera,medium,1,0,0,1,4.967,100,,
CN111,B1,Cnat,disease1,disease,chimera,large,1,0,0,1,5.132,100,,
CN112,B1,Cnat,disease1,disease,chimera,large,1,0,0,1,5.149,100,,
CN113,B1,Cnat,disease1,disease,chimera,large,1,0,0,1,5.836,100,,
CN114,B1,Cnat,disease1,disease,chimera,large,1,0,0,1,5.978,100,,
CN115,B1,Cnat,disease1,disease,chimera,large,1,0,0,1,6.641,100,,
CN116,B1,Cnat,disease1,disease,chimera,large,1,0,0,1,7.03,100,,
CN117,B1,Cnat,disease1,disease,chimera,large,1,0,0,1,7.066,100,,
CN118,B1,Cnat,disease1,disease,chimera,large,1,0,0,1,7.895,100,,
CN119,B1,Cnat,disease1,disease,chimera,large,1,0,0,1,10.144,100,,
CN120,B1,Cnat,disease1,disease,solitary,large,1,0,0,1,12.606,100,,
CN121,B10,Cnat,disease1,disease,chimera,small,1,0,0,1,0.405,100,,
CN122,B10,Cnat,disease1,disease,chimera,small,1,0,0,1,0.523,100,,
CN123,B10,Cnat,disease1,disease,solitary,small,1,0,0,1,0.573,100,,
CN124,B10,Cnat,disease1,disease,solitary,small,1,0,0,1,0.657,100,,
CN125,B11,Cnat,disease1,disease,chimera,small,1,0,0,1,0.28,100,,
CN126,B11,Cnat,disease1,disease,chimera,small,1,0,0,1,0.31,100,,
CN127,B11,Cnat,disease1,disease,solitary,small,1,0,0,1,0.336,100,,
CN128,B11,Cnat,disease1,disease,solitary,small,1,0,0,1,0.46,100,,
CN129,B11,Cnat,disease1,disease,chimera,small,1,0,0,1,0.594,100,,
CN130,B11,Cnat,disease1,disease,chimera,small,1,0,0,1,0.776,100,,
CN131,B11,Cnat,disease1,disease,solitary,medium,1,0,0,1,1.316,100,,
CN132,B2,Cnat,disease1,disease,chimera,small,1,0,0,1,0.297,100,,
CN133,B2,Cnat,disease1,disease,solitary,small,1,0,0,1,0.595,100,,
CN134,B2,Cnat,disease1,disease,chimera,small,1,0,0,1,0.813,100,,
CN135,B2,Cnat,disease1,disease,chimera,small,1,0,0,1,0.875,100,,
CN136,B2,Cnat,disease1,disease,chimera,small,1,0,0,1,1.078,100,,
CN137,B2,Cnat,disease1,disease,chimera,medium,1,0,0,1,1.185,100,,
CN138,B2,Cnat,disease1,disease,chimera,small,1,0,0,1,1.207,100,,
CN139,B2,Cnat,disease1,disease,chimera,medium,1,0,0,1,1.847,100,,
CN140,B2,Cnat,disease1,disease,chimera,medium,1,0,0,1,2.181,100,,
CN141,B2,Cnat,disease1,disease,chimera,medium,1,0,0,1,3.222,100,,
CN142,B2,Cnat,disease1,disease,chimera,medium,1,0,0,1,3.883,100,,
CN143,B2,Cnat,disease1,disease,solitary,medium,1,0,0,1,4.395,100,,
CN144,B2,Cnat,disease1,disease,chimera,medium,1,0,0,1,4.615,100,,
CN145,B2,Cnat,disease1,disease,chimera,large,1,0,0,1,5.639,100,,
CN146,B2,Cnat,disease1,disease,chimera,large,1,0,0,1,5.841,100,,
CN147,B2,Cnat,disease1,disease,chimera,large,1,0,0,1,7.149,100,,
CN148,B2,Cnat,disease1,disease,solitary,large,1,0,0,1,12.747,100,,
CN149,B2,Cnat,disease1,disease,chimera,large,1,0,0,1,15.12,100,,
CN150,B3,Cnat,disease1,disease,solitary,small,1,0,0,1,0.529,100,,
CN151,B3,Cnat,disease1,disease,solitary,small,1,0,0,1,0.574,100,,
CN152,B3,Cnat,disease1,disease,solitary,small,1,0,0,1,0.655,100,,
CN153,B3,Cnat,disease1,disease,chimera,small,1,0,0,1,0.708,100,,
CN154,B3,Cnat,disease1,disease,chimera,small,1,0,0,1,0.794,100,,
CN155,B3,Cnat,disease1,disease,solitary,medium,1,0,0,1,1.452,100,,
CN156,B3,Cnat,disease1,disease,chimera,medium,1,0,0,1,2.097,100,,
CN157,B3,Cnat,disease1,disease,chimera,medium,1,0,0,1,2.511,100,,
CN158,B5,Cnat,disease1,disease,chimera,small,1,0,0,1,0.414,100,,
CN159,B5,Cnat,disease1,disease,chimera,small,1,0,0,1,0.501,100,,
CN160,B5,Cnat,disease1,disease,solitary,small,1,0,0,1,0.539,100,,
CN161,B5,Cnat,disease1,disease,solitary,small,1,0,0,1,0.543,100,,
CN162,B5,Cnat,disease1,disease,chimera,small,1,0,0,1,0.562,100,,
CN163,B5,Cnat,disease1,disease,solitary,small,1,0,0,1,0.653,100,,
CN164,B5,Cnat,disease1,disease,chimera,small,1,0,0,1,0.663,100,,
CN165,B5,Cnat,disease1,disease,chimera,small,1,0,0,1,0.686,100,,
CN166,B5,Cnat,disease1,disease,chimera,small,1,0,0,1,0.7,100,,
CN167,B5,Cnat,disease1,disease,chimera,small,1,0,0,1,0.863,100,,
CN168,B5,Cnat,disease1,disease,chimera,small,1,0,0,1,0.87,100,,
CN169,B5,Cnat,disease1,disease,chimera,small,1,0,0,1,0.931,100,,
CN170,B5,Cnat,disease1,disease,solitary,medium,1,0,0,1,1.384,100,,
CN171,B6,Cnat,disease1,disease,solitary,small,1,0,0,1,0.743,100,,
CN172,B6,Cnat,disease1,disease,solitary,small,1,0,0,1,0.917,100,,
CN173,B6,Cnat,disease1,disease,solitary,medium,1,0,0,1,1.239,100,,
CN174,B7,Cnat,disease1,disease,solitary,small,1,0,0,1,0.632,100,,
CN175,B7,Cnat,disease1,disease,solitary,small,1,0,0,1,0.793,100,,
CN176,B7,Cnat,disease1,disease,solitary,small,1,0,0,1,0.856,100,,
CN177,B8,Cnat,disease1,disease,solitary,small,1,0,0,1,0.473,100,,
CN178,B8,Cnat,disease1,disease,chimera,small,1,0,0,1,0.516,100,,
CN179,B8,Cnat,disease1,disease,chimera,small,1,0,0,1,0.588,100,,
CN180,B8,Cnat,disease1,disease,chimera,small,1,0,0,1,0.608,100,,
CN181,B8,Cnat,disease1,disease,chimera,small,1,0,0,1,0.696,100,,
CN182,B8,Cnat,disease1,disease,chimera,small,1,0,0,1,0.872,100,,
CN183,B8,Cnat,disease1,disease,solitary,medium,1,0,0,1,1.073,100,,
CN184,B8,Cnat,disease1,disease,chimera,medium,1,0,0,1,1.234,100,,
CN185,B8,Cnat,disease1,disease,solitary,medium,1,0,0,1,1.251,100,,
CN186,B8,Cnat,disease1,disease,chimera,medium,1,0,0,1,1.295,100,,
CN187,B8,Cnat,disease1,disease,solitary,medium,1,0,0,1,1.301,100,,
CN188,B8,Cnat,disease1,disease,chimera,medium,1,0,0,1,1.453,100,,
CN189,B8,Cnat,disease1,disease,chimera,medium,1,0,0,1,1.491,100,,
CN190,B8,Cnat,disease1,disease,chimera,medium,1,0,0,1,1.64,100,,
CN191,B8,Cnat,disease1,disease,chimera,medium,1,0,0,1,1.801,100,,
CN192,B8,Cnat,disease1,disease,chimera,medium,1,0,0,1,1.874,100,,
CN193,B8,Cnat,disease1,disease,chimera,medium,1,0,0,1,4.897,100,,
CN194,B9,Cnat,disease1,disease,solitary,small,1,0,0,1,0.21,100,,
CN195,B9,Cnat,disease1,disease,solitary,small,1,0,0,1,0.239,100,,
CN196,B9,Cnat,disease1,disease,chimera,small,1,0,0,1,0.292,100,,
CN197,B9,Cnat,disease1,disease,chimera,small,1,0,0,1,0.344,100,,
CN198,B9,Cnat,disease1,disease,chimera,small,1,0,0,1,0.37,100,,
CN199,B9,Cnat,disease1,disease,solitary,small,1,0,0,1,0.379,100,,
CN200,B9,Cnat,disease1,disease,chimera,small,1,0,0,1,0.394,100,,
CN201,B9,Cnat,disease1,disease,chimera,small,1,0,0,1,0.446,100,,
CN202,B9,Cnat,disease1,disease,chimera,small,1,0,0,1,0.472,100,,
CN203,B9,Cnat,disease1,disease,solitary,small,1,0,0,1,0.473,100,,
CN204,B9,Cnat,disease1,disease,solitary,small,1,0,0,1,0.476,100,,
CN205,B9,Cnat,disease1,disease,chimera,small,1,0,0,1,0.5,100,,
CN206,B9,Cnat,disease1,disease,chimera,small,1,0,0,1,0.529,100,,
CN207,B9,Cnat,disease1,disease,chimera,small,1,0,0,1,0.625,100,,
CN208,B9,Cnat,disease1,disease,chimera,small,1,0,0,1,0.721,100,,
CN209,B9,Cnat,disease1,disease,solitary,small,1,0,0,1,0.728,100,,
CN210,B9,Cnat,disease1,disease,solitary,small,1,0,0,1,0.752,100,,
CN211,B9,Cnat,disease1,disease,solitary,small,1,0,0,1,0.955,100,,
CN212,C1,Cnat,disease2,disease,solitary,medium,1,0,0,1,1.709,100,,
CN213,C1,Cnat,disease2,disease,chimera,small,1,0,0,1,0.572,100,,
CN214,C1,Cnat,disease2,disease,solitary,small,1,0,0,1,0.648,100,,
CN215,C1,Cnat,disease2,disease,solitary,small,1,0,0,1,0.796,100,,
CN216,C1,Cnat,disease2,disease,chimera,small,1,0,0,1,0.884,100,,
CN217,C1,Cnat,disease2,disease,chimera,small,1,0,0,1,0.905,100,,
CN218,C1,Cnat,disease2,disease,chimera,medium,1,0,0,1,1.143,100,,
CN219,C1,Cnat,disease2,disease,chimera,medium,1,0,0,1,1.394,100,,
CN220,C1,Cnat,disease2,disease,chimera,medium,1,0,0,1,1.592,100,,
CN221,C1,Cnat,disease2,disease,chimera,medium,1,0,0,1,1.682,100,,
CN222,C1,Cnat,disease2,disease,chimera,medium,1,0,0,1,2.113,100,,
CN223,C1,Cnat,disease2,disease,chimera,medium,1,0,0,1,2.147,100,,
CN224,C1,Cnat,disease2,disease,solitary,medium,1,0,0,1,2.161,100,,
CN225,C1,Cnat,disease2,disease,chimera,medium,1,0,0,1,2.277,100,,
CN226,C1,Cnat,disease2,disease,chimera,medium,1,0,0,1,2.374,100,,
CN227,C1,Cnat,disease2,disease,chimera,medium,1,0,0,1,2.66,100,,
CN228,C1,Cnat,disease2,disease,solitary,medium,1,0,0,1,2.703,100,,
CN229,C1,Cnat,disease2,disease,chimera,medium,1,0,0,1,2.803,100,,
CN230,C1,Cnat,disease2,disease,chimera,medium,1,0,0,1,2.811,100,,
CN231,C1,Cnat,disease2,disease,chimera,medium,1,0,0,1,2.85,100,,
CN232,C1,Cnat,disease2,disease,chimera,medium,1,0,0,1,2.85,100,,
CN233,C1,Cnat,disease2,disease,chimera,medium,1,0,0,1,2.98,100,,
CN234,C1,Cnat,disease2,disease,chimera,large,1,0,0,1,5.004,100,,
CN235,C1,Cnat,disease2,disease,chimera,medium,1,0,0,1,3.065,100,,
CN236,C1,Cnat,disease2,disease,chimera,medium,1,0,0,1,3.093,100,,
CN237,C1,Cnat,disease2,disease,chimera,medium,1,0,0,1,3.15,100,,
CN238,C1,Cnat,disease2,disease,chimera,medium,1,0,0,1,3.47,100,,
CN239,C1,Cnat,disease2,disease,chimera,medium,1,0,0,1,3.644,100,,
CN240,C1,Cnat,disease2,disease,chimera,medium,1,0,0,1,3.669,100,,
CN241,C1,Cnat,disease2,disease,solitary,medium,1,0,0,1,4.32,100,,
CN242,C1,Cnat,disease2,disease,chimera,large,1,0,0,1,6.345,100,,
CN243,C1,Cnat,disease2,disease,chimera,large,1,0,0,1,5.113,100,,
CN244,C1,Cnat,disease2,disease,solitary,large,1,0,0,1,5.345,100,,
CN245,C1,Cnat,disease2,disease,solitary,large,1,0,0,1,5.631,100,,
CN246,C1,Cnat,disease2,disease,chimera,large,1,0,0,1,6.042,100,,
CN247,C1,Cnat,disease2,disease,chimera,large,1,0,0,1,6.301,100,,
CN248,C1,Cnat,disease2,disease,chimera,large,1,0,0,1,6.981,100,,
CN249,C1,Cnat,disease2,disease,chimera,large,1,0,0,1,7.112,100,,
CN250,C1,Cnat,disease2,disease,solitary,small,1,0,0,1,0.918,100,,
CN251,C10,Cnat,disease2,disease,solitary,small,1,0,0,1,0.386,100,,
CN252,C2,Cnat,disease2,disease,solitary,small,1,0,0,1,0.89,100,,
CN253,C2,Cnat,disease2,disease,solitary,medium,1,0,0,1,1.088,100,,
CN254,C2,Cnat,disease2,disease,solitary,medium,1,0,0,1,2.608,100,,
CN255,C2,Cnat,disease2,disease,solitary,medium,1,0,0,1,2.738,100,,
CN256,C2,Cnat,disease2,disease,solitary,large,1,0,0,1,5.473,100,,
CN257,C3,Cnat,disease2,disease,solitary,small,1,0,0,1,0.295,100,,
CN258,C3,Cnat,disease2,disease,solitary,small,1,0,0,1,0.331,100,,
CN259,C3,Cnat,disease2,disease,solitary,small,1,0,0,1,0.343,100,,
CN260,C3,Cnat,disease2,disease,solitary,small,1,0,0,1,0.417,100,,
CN261,C3,Cnat,disease2,disease,solitary,small,1,0,0,1,0.553,100,,
CN262,C3,Cnat,disease2,disease,solitary,small,1,0,0,1,0.584,100,,
CN263,C3,Cnat,disease2,disease,chimera,small,1,0,0,1,0.598,100,,
CN264,C3,Cnat,disease2,disease,solitary,small,1,0,0,1,0.665,100,,
CN265,C3,Cnat,disease2,disease,chimera,small,1,0,0,1,0.678,100,,
CN266,C3,Cnat,disease2,disease,solitary,small,1,0,0,1,0.722,100,,
CN267,C3,Cnat,disease2,disease,chimera,small,1,0,0,1,0.871,100,,
CN268,C3,Cnat,disease2,disease,chimera,small,1,0,0,1,0.92,100,,
CN269,C3,Cnat,disease2,disease,solitary,small,1,0,0,1,0.966,100,,
CN270,C3,Cnat,disease2,disease,solitary,medium,1,0,0,1,1.108,100,,
CN271,C3,Cnat,disease2,disease,solitary,medium,1,0,0,1,1.267,100,,
CN272,C3,Cnat,disease2,disease,solitary,medium,1,0,0,1,1.547,100,,
CN273,C3,Cnat,disease2,disease,solitary,medium,1,0,0,1,1.564,100,,
CN274,C3,Cnat,disease2,disease,chimera,medium,1,0,0,1,1.689,100,,
CN275,C3,Cnat,disease2,disease,chimera,medium,1,0,0,1,1.839,100,,
CN276,C3,Cnat,disease2,disease,chimera,medium,1,0,0,1,2.086,100,,
CN277,C3,Cnat,disease2,disease,chimera,medium,1,0,0,1,2.583,100,,
CN278,C4,Cnat,disease2,disease,solitary,small,1,0,0,1,0.95,100,,
CN279,C5,Cnat,disease2,disease,solitary,large,1,0,0,1,9.611,100,,
CN280,C6,Cnat,disease2,disease,chimera,small,1,0,0,1,0.266,100,,
CN281,C6,Cnat,disease2,disease,solitary,small,1,0,0,1,0.437,100,,
CN282,C6,Cnat,disease2,disease,solitary,small,1,0,0,1,0.468,100,,
CN283,C6,Cnat,disease2,disease,chimera,small,1,0,0,1,0.481,100,,
CN284,C6,Cnat,disease2,disease,chimera,small,1,0,0,1,0.536,100,,
CN285,C6,Cnat,disease2,disease,chimera,small,1,0,0,1,0.552,100,,
CN286,C6,Cnat,disease2,disease,chimera,small,1,0,0,1,0.602,100,,
CN287,C6,Cnat,disease2,disease,solitary,small,1,0,0,1,0.659,100,,
CN288,C6,Cnat,disease2,disease,solitary,small,1,0,0,1,0.872,100,,
CN289,C6,Cnat,disease2,disease,solitary,small,1,0,0,1,0.878,100,,
CN290,C6,Cnat,disease2,disease,chimera,medium,1,0,0,1,1.807,100,,
CN291,C7,Cnat,disease2,disease,solitary,small,1,0,0,1,0.497,100,,
CN292,C7,Cnat,disease2,disease,solitary,small,1,0,0,1,0.586,100,,
CN293,C8,Cnat,disease2,disease,solitary,small,1,0,0,1,0.271,100,,
CN294,C8,Cnat,disease2,disease,chimera,small,1,0,0,1,0.293,100,,
CN295,C8,Cnat,disease2,disease,chimera,small,1,0,0,1,0.405,100,,
CN296,C8,Cnat,disease2,disease,chimera,small,1,0,0,1,0.438,100,,
CN297,C8,Cnat,disease2,disease,chimera,small,1,0,0,1,0.441,100,,
CN298,C8,Cnat,disease2,disease,chimera,small,1,0,0,1,0.489,100,,
CN299,C8,Cnat,disease2,disease,chimera,small,1,0,0,1,0.571,100,,
CN300,C8,Cnat,disease2,disease,chimera,small,1,0,0,1,0.6,100,,
CN301,C8,Cnat,disease2,disease,chimera,small,1,0,0,1,0.678,100,,
CN302,C8,Cnat,disease2,disease,solitary,small,1,0,0,1,0.775,100,,
CN303,C8,Cnat,disease2,disease,solitary,small,1,0,0,1,0.978,100,,
CN304,C8,Cnat,disease2,disease,chimera,small,1,0,0,1,0.981,100,,
CN305,C8,Cnat,disease2,disease,solitary,small,1,0,0,1,0.988,100,,
CN306,C8,Cnat,disease2,disease,solitary,medium,1,0,0,1,1.078,100,,
CN307,C8,Cnat,disease2,disease,solitary,medium,1,0,0,1,1.148,100,,
CN308,C8,Cnat,disease2,disease,chimera,medium,1,0,0,1,1.217,100,,
CN309,C8,Cnat,disease2,disease,chimera,medium,1,0,0,1,1.266,100,,
CN310,C9,Cnat,disease2,disease,chimera,small,1,0,0,1,0.26,100,,
CN311,C9,Cnat,disease2,disease,chimera,small,1,0,0,1,0.221,100,,
CN312,C9,Cnat,disease2,disease,solitary,small,1,0,0,1,0.274,100,,
CN313,C9,Cnat,disease2,disease,chimera,small,1,0,0,1,0.276,100,,
CN314,C9,Cnat,disease2,disease,chimera,small,1,0,0,1,0.28,100,,
CN315,C9,Cnat,disease2,disease,chimera,small,1,0,0,1,0.305,100,,
CN316,C9,Cnat,disease2,disease,chimera,small,1,0,0,1,0.318,100,,
CN317,C9,Cnat,disease2,disease,solitary,small,1,0,0,1,0.377,100,,
CN318,C9,Cnat,disease2,disease,chimera,small,1,0,0,1,0.377,100,,
CN319,C9,Cnat,disease2,disease,chimera,small,1,0,0,1,0.38,100,,
CN320,C9,Cnat,disease2,disease,chimera,small,1,0,0,1,0.41,100,,
CN321,C9,Cnat,disease2,disease,solitary,small,1,0,0,1,0.425,100,,
CN322,C9,Cnat,disease2,disease,chimera,small,1,0,0,1,0.455,100,,
CN323,C9,Cnat,disease2,disease,chimera,small,1,0,0,1,0.471,100,,
CN324,C9,Cnat,disease2,disease,chimera,small,1,0,0,1,0.473,100,,
CN325,C9,Cnat,disease2,disease,solitary,small,1,0,0,1,0.49,100,,
CN326,C9,Cnat,disease2,disease,solitary,small,1,0,0,1,0.503,100,,
CN327,C9,Cnat,disease2,disease,chimera,small,1,0,0,1,0.503,100,,
CN328,C9,Cnat,disease2,disease,solitary,small,1,0,0,1,0.529,100,,
CN329,C9,Cnat,disease2,disease,chimera,small,1,0,0,1,0.584,100,,
CN330,C9,Cnat,disease2,disease,solitary,small,1,0,0,1,0.661,100,,
CN331,C9,Cnat,disease2,disease,solitary,small,1,0,0,1,0.705,100,,
CN332,C9,Cnat,disease2,disease,solitary,small,1,0,0,1,0.772,100,,
CN333,C9,Cnat,disease2,disease,solitary,small,1,0,0,1,0.794,100,,
CN334,C9,Cnat,disease2,disease,solitary,small,1,0,0,1,0.857,100,,
CN335,C9,Cnat,disease2,disease,solitary,small,1,0,0,1,0.881,100,,
CN336,C9,Cnat,disease2,disease,solitary,small,1,0,0,1,0.893,100,,
CN337,C9,Cnat,disease2,disease,solitary,small,1,0,0,1,0.912,100,,
CN338,C9,Cnat,disease2,disease,chimera,medium,1,0,0,1,1.099,100,,
CN339,C9,Cnat,disease2,disease,solitary,medium,1,0,0,1,1.168,100,,
CN340,C9,Cnat,disease2,disease,solitary,medium,1,0,0,1,1.219,100,,
CN341,C9,Cnat,disease2,disease,chimera,medium,1,0,0,1,1.443,100,,
CN342,D1,Cnat,disease3,disease,chimera,small,1,0,0,1,0.486,100,,
